SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629012,0022500124,"Oct 28, 2025",CHA @ MIA,L,27,7,11,0.636,2,2,1.0,2,2,1.0,1,4,5,6,0,0,4,2,18,6,1
22025,1629012,0022500109,"Oct 26, 2025",CHA @ WAS,W,33,7,10,0.7,0,1,0.0,6,7,0.857,0,2,2,3,2,0,3,2,20,4,1
22025,1629012,0022500102,"Oct 25, 2025",CHA @ PHI,L,30,7,13,0.538,3,5,0.6,4,6,0.667,0,2,2,7,1,0,1,4,21,-19,1
22025,1629012,0022500080,"Oct 22, 2025",CHA vs. BKN,W,17,4,9,0.444,1,2,0.5,6,7,0.857,0,1,1,3,1,0,1,2,15,5,1
