SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628970,0022500124,"Oct 28, 2025",CHA @ MIA,L,31,6,16,0.375,2,7,0.286,3,4,0.75,0,4,4,1,1,1,2,2,17,-10,1
22025,1628970,0022500109,"Oct 26, 2025",CHA @ WAS,W,32,6,16,0.375,1,7,0.143,9,10,0.9,0,4,4,3,1,0,0,0,22,4,1
22025,1628970,0022500102,"Oct 25, 2025",CHA @ PHI,L,35,6,18,0.333,3,9,0.333,3,3,1.0,2,7,9,7,0,0,1,2,18,-4,1
22025,1628970,0022500080,"Oct 22, 2025",CHA vs. BKN,W,31,6,11,0.545,3,6,0.5,3,4,0.75,2,9,11,4,1,0,1,1,18,7,1
