SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630163,0022500124,"Oct 28, 2025",CHA @ MIA,L,28,6,18,0.333,4,12,0.333,4,5,0.8,0,8,8,9,1,0,5,4,20,-19,1
22025,1630163,0022500109,"Oct 26, 2025",CHA @ WAS,W,35,13,25,0.52,5,12,0.417,7,7,1.0,4,9,13,13,3,0,4,3,38,32,1
22025,1630163,0022500102,"Oct 25, 2025",CHA @ PHI,L,34,8,18,0.444,4,11,0.364,7,8,0.875,2,8,10,8,3,1,4,5,27,12,1
22025,1630163,0022500080,"Oct 22, 2025",CHA vs. BKN,W,34,7,15,0.467,4,8,0.5,2,5,0.4,1,1,2,8,0,0,3,3,20,10,1
