TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1611661330,Atlanta Dream,44,30,14,0.682,1765.0,105.8,108.2,96.4,98.9,9.4,9.3,0.712,1.71,19.1,0.32,0.737,0.53,0.161,0.514,0.555,95.3,93.08,77.56,3430,0.559,1,2,32,6,3,20,2,3,3,3,6,21,1,4,6,25,24,40,4
1610612737,Atlanta Hawks,10,6,4,0.6,443.0,109.1,110.7,109.4,112.8,-0.3,-2.1,0.619,1.69,17.8,0.295,0.664,0.481,0.147,0.527,0.564,105.8,103.43,86.19,953,0.497,23,21,5,12,25,8,38,30,26,4,18,32,34,37,1,12,15,15,29
1610612738,Boston Celtics,10,6,4,0.6,1304.0,110.9,337.2,109.5,330.3,1.4,6.8,0.453,1.47,31.2,0.316,0.685,0.498,0.367,0.512,0.561,103.3,34.11,28.43,928,0.509,23,21,5,12,15,1,43,6,43,14,2,24,22,20,42,26,20,43,18
1610612751,Brooklyn Nets,10,1,9,0.1,440.0,104.7,107.7,114.5,117.2,-9.8,-9.4,0.589,1.24,15.9,0.332,0.669,0.49,0.178,0.509,0.551,105.6,102.84,85.7,944,0.42,23,41,28,41,28,22,41,39,35,34,38,14,30,31,24,28,29,17,41
1610612766,Charlotte Hornets,10,8,2,0.8,432.0,114.4,117.0,102.6,105.8,11.7,11.2,0.658,1.64,18.7,0.331,0.692,0.524,0.163,0.561,0.598,108.2,105.42,87.85,947,0.589,23,16,1,1,34,3,16,2,16,5,7,17,15,6,7,1,1,10,1
1610612741,Chicago Bulls,9,7,2,0.778,392.0,107.0,109.7,108.9,109.2,-1.8,0.5,0.67,1.34,18.4,0.32,0.701,0.515,0.192,0.54,0.585,109.3,107.82,89.85,879,0.507,35,19,1,2,40,12,30,22,11,23,10,20,11,9,35,9,4,1,21
1611661329,Chicago Sky,44,10,34,0.227,1760.0,94.0,97.0,107.5,109.9,-13.5,-12.8,0.689,1.14,17.3,0.355,0.701,0.527,0.217,0.476,0.516,96.3,93.75,78.12,3437,0.425,1,12,42,39,10,42,33,41,6,39,22,5,12,5,41,40,40,39,40
1610612739,Cleveland Cavaliers,10,5,5,0.5,440.0,107.5,110.9,106.8,109.1,0.7,1.8,0.619,1.32,16.5,0.386,0.666,0.52,0.181,0.508,0.552,104.9,102.22,85.18,936,0.498,23,30,13,24,29,7,27,18,25,25,32,2,32,7,27,29,28,22,28
1611661323,Connecticut Sun,44,11,33,0.25,1765.0,94.2,95.9,106.5,108.8,-12.3,-12.9,0.63,1.24,16.0,0.296,0.672,0.475,0.177,0.458,0.505,96.5,94.57,78.81,3479,0.414,1,11,41,38,3,43,25,42,23,35,36,30,27,40,23,42,42,37,42
1610612742,Dallas Mavericks,10,4,6,0.4,440.0,98.7,100.3,102.1,104.7,-3.4,-4.4,0.591,1.26,15.7,0.276,0.676,0.483,0.169,0.484,0.524,104.4,102.27,85.23,935,0.49,23,34,19,31,29,39,13,33,34,32,40,39,24,36,14,36,39,21,30
1611661321,Dallas Wings,44,10,34,0.227,1765.0,98.0,101.6,107.7,109.1,-9.7,-7.5,0.669,1.46,17.6,0.335,0.709,0.512,0.172,0.469,0.514,98.7,96.34,80.28,3537,0.446,1,12,42,39,3,36,28,38,12,15,20,12,5,11,16,41,41,30,38
1610612743,Denver Nuggets,9,5,4,0.556,397.0,113.4,115.4,103.4,106.5,10.1,8.8,0.616,1.58,18.2,0.339,0.714,0.539,0.163,0.553,0.591,104.0,101.56,84.63,840,0.561,35,30,5,18,37,4,18,4,27,6,14,10,4,3,8,2,2,26,3
